date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2003-10-01,19.73225806451613,24.02258064516129,16.358064516129033,84.89999999999999,86.53,410.06,17.812903225806455,2.2545211279728825,-1.6300000000000097,-1528.6300000000003,1.0180000000000002,18.0865616999488,815.2,1.7100776370350166,1.5095233162065278
2003-11-01,15.256666666666666,19.45,11.973333333333333,62.7,63.25,297.77,19.243333333333332,-2.2210702698765825,-0.5499999999999972,-1529.1800000000003,1.0071656050955413,18.09128392217102,750.4,1.1681045763648006,1.1042167111236125
2003-12-01,11.13225806451613,14.816129032258065,8.238709677419354,138.4,48.4,253.37,21.73225806451613,-6.345478872027119,90.0,-1439.1800000000003,0.3494584837545126,17.938058115719407,789.1000000000001,1.4917829320428473,1.372234059933787
2004-01-01,11.03225806451613,15.103225806451613,7.635483870967741,73.5,52.09,304.18,19.103225806451615,-6.4454788720271186,21.409999999999997,-1417.7700000000002,0.7077445652173914,17.94692908346134,673.0,0.5207478650087104,0.652920062122461
2004-02-01,11.37241379310345,16.29310344827586,7.362068965517241,31.9,63.35,396.75,18.089655172413792,-6.105323143439799,-31.450000000000003,-1449.2200000000003,1.9796875,18.063677851934248,595.3000000000001,-0.12911798088751944,0.12282755052654057
2004-03-01,12.416129032258064,16.980645161290322,8.516129032258064,55.6,81.65,533.69,18.10967741935484,-5.061607904285184,-26.050000000000004,-1475.2700000000002,1.4658886894075405,18.00695742182672,629.7,0.1585961130485206,0.3913400815054176
2004-04-01,14.246666666666666,18.746666666666666,10.026666666666667,79.1,109.48,654.37,22.026666666666664,-3.2310702698765823,-30.38000000000001,-1505.6500000000003,1.3823232323232326,17.94945742182672,595.9,-0.12409971180724044,0.14393469046748023
2004-05-01,15.974193548387097,19.806451612903224,12.306451612903226,122.0,113.16,665.28,21.580645161290324,-1.5035433881561513,8.840000000000003,-1496.8100000000004,0.9267813267813267,17.82875849709554,664.8,0.45216485424488645,0.6556435640503245
2004-06-01,21.89333333333333,27.136666666666667,16.37333333333333,2.0,162.98,810.34,17.836666666666666,4.415596396790082,-160.98,-1657.7900000000004,77.60952380952381,17.610147385984426,666.4,0.4655469051256327,0.742486136886508
2004-07-01,24.741935483870968,30.23548387096774,19.374193548387098,0.1,186.9,835.3,19.693548387096776,7.2641985473277195,-186.8,-1844.5900000000004,934.5,17.406383945124215,666.5,0.4663832833056795,0.8064884321912928
