Date,SARIMA,LSTM,Ridge,Prophet,RL_Best_Forecast,RL_Best_Forecast_Lower,RL_Best_Forecast_Upper,RL_Best_Forecast_Std,Model_Used
2029-10-01,114.92922733514516,112.90245,138.9076904850442,95.40167985235536,114.92922733514516,84.58195609343532,145.276498576855,15.48330165393359,SARIMA
2029-11-01,76.34207263113302,77.366455,110.47123504372516,54.25805785393256,77.366455,38.033771447068766,116.69913855293123,20.06769569027104,LSTM
2029-12-01,69.92026003569632,60.630898,74.44475813189473,44.195001703913,60.630898,37.93928723494416,83.32250876505584,11.577352431150938,LSTM
2030-01-01,64.71861929514222,57.502396,55.13947895493325,43.47904742117745,57.502396,42.534066371291146,72.47072562870885,7.6369028717902285,LSTM
2030-02-01,71.13097867054846,61.116814,95.0778047294828,54.01919699778099,71.13097867054846,40.703275218972585,101.55868212212434,15.524338495701976,SARIMA
2030-03-01,100.87777399683254,76.73376,127.4261090335212,101.75572125767718,100.87777399683254,65.73654029374158,136.01900769992352,17.92920086892396,SARIMA
2030-04-01,132.19849172123676,105.65935,152.1843918670483,119.15506841332054,132.19849172123676,98.56455733373191,165.83242610874163,17.160170605869823,SARIMA
2030-05-01,137.89632151359564,138.02931,169.35265323006416,154.35637765705334,138.02931,104.04323691011567,172.01538308988435,17.339833209124667,LSTM
2030-06-01,164.58711833239033,170.52765,178.93089312256885,178.7246106685903,170.52765,143.8302895812222,197.2250104187778,13.621102254478476,LSTM
2030-07-01,197.20065551398773,188.01862,180.91911154456227,210.6830466512612,188.01862,166.20869627744113,209.82854372255886,11.127512103346355,LSTM
2030-08-01,184.7438557217773,182.28653,175.31730849604452,185.54053673980863,182.28653,146.51713826225514,218.05592173774485,18.24968966211472,LSTM
2030-09-01,139.40032487199142,154.00763,162.1254839770155,131.99731530860254,154.00763,130.80277566539698,177.21248433460303,11.839211395205623,LSTM
2030-10-01,115.37326821453344,114.03208,141.34363798747526,105.08360304065816,115.37326821453344,88.88187839935856,141.86465802970832,13.516015211823918,SARIMA
2030-11-01,77.52185341776386,78.09145,112.9717705274238,63.74526931149688,78.09145,42.44411530250642,113.73878469749357,18.18741566198652,LSTM
2030-12-01,71.07689351019387,60.991337,77.00988159686113,55.92985381054463,60.991337,44.792174413333505,77.1904995866665,8.264878870748213,LSTM
2031-01-01,65.90912568102975,57.68457,57.0931241577232,51.73155903212759,57.68457,46.144042278451934,69.22509772154807,5.888024347728607,LSTM
2031-02-01,72.20249920255357,61.143467,97.0960379135404,58.013649831788,72.20249920255357,42.10385252553362,102.30114587957351,15.356452386234668,SARIMA
2031-03-01,101.5879783220438,76.41602,129.5089301988464,110.48726857283212,101.5879783220438,64.16167981488331,139.01427682920428,19.095050258755343,SARIMA
2031-04-01,132.55608071414903,104.79157,154.33180101364118,130.99847248705117,132.55608071414903,98.1409257777754,166.97123565052266,17.55875251855798,SARIMA
2031-05-01,137.7294864539349,136.67308,171.5646503579247,163.0617219297719,136.67308,101.99852379331097,171.34763620668903,17.691100105453593,LSTM
2031-06-01,163.94739386226456,169.1218,181.20747823169705,188.34586800870755,169.1218,141.88453867102876,196.35906132897125,13.896561902536355,LSTM
2031-07-01,196.23514034820016,187.05557,183.2602846349581,221.85522113636543,187.05557,157.5577776976025,216.5533623023975,15.049894031835459,LSTM
2031-08-01,183.8276280611545,182.1798,177.72306956770802,196.83993854276952,182.1798,145.68948014429236,218.67011985570764,18.61751013046309,LSTM
2031-09-01,139.36433996667833,154.8577,164.59583302994662,143.95707951252766,154.8577,135.64508422626176,174.07031577373823,9.802354986601134,LSTM
2031-10-01,115.69580771736732,115.41341,143.87857502167407,115.14571391641974,115.69580771736732,91.53843344779348,139.85318198694114,12.325190953864201,SARIMA
2031-11-01,78.4230251193656,79.05964,115.57129554289028,76.70279813163953,79.05964,47.180350562981346,110.93892943701866,16.264943590315642,LSTM
2031-12-01,72.15482640674995,61.469566,79.67399459359518,68.0176203857856,61.469566,48.52411792407216,74.41501407592784,6.60482044690196,LSTM
